ceremony_number,year,date,url,category,winner,nominees
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Outstanding Picture,Wings,The Racket | 7th Heaven
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Unique and Artistic Picture,Sunrise,Chang | The Crowd
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Directing (Dramatic Picture),Frank Borzage,Herbert Brenon | King Vidor
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Directing (Comedy Picture),Lewis Milestone,Charles Chaplin | Ted Wilde
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Actor,Emil Jannings,Richard Barthelmess | Charles Chaplin
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Actress,Janet Gaynor,Louise Dresser | Gloria Swanson
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Writing (Adaptation),7th Heaven,Glorious Betsy | The Jazz Singer
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Writing (Original Story),Underworld,The Circus | The Last Command
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Writing (Title Writing),Joseph Farnham,Gerald Duffy [ B ] | George Marion Jr.
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Art Direction,The Dove,
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Cinematography,Sunrise,The Devil Dancer | The Magic Flame | Sadie Thompson
1,1929,"May 16, 1929(1929-05-16)",https://en.wikipedia.org/wiki/1st_Academy_Awards,Best Engineering Effects,Wings,No specific film | No specific film
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Outstanding Picture,The Broadway Melody,Alibi | The Hollywood Revue of 1929 | In Old Arizona | The Patriot
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Director,Frank Lloyd,Harry Beaumont | Frank Lloyd – Drag | Irving Cummings | Lionel Barrymore | Ernst Lubitsch | Frank Lloyd – Weary River
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Actor,Warner Baxter,George Bancroft | Chester Morris | Paul Muni | Lewis Stone
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Actress,Mary Pickford,Ruth Chatterton | Betty Compson | Jeanne Eagels (posthumous nomination) – The Letter as Leslie Crosbie | Corinne Griffith | Bessie Love
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Writing,The Patriot,The Cop | In Old Arizona | The Last of Mrs. Cheyney | The Leatherneck | Our Dancing Daughters | Sal of Singapore | Skyscraper | The Valiant | A Woman of Affairs | Wonder of Women
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Art Direction,The Bridge of San Luis Rey,Alibi | The Awakening | Dynamite | The Patriot | Street Angel
2,1930,"April 3, 1930",https://en.wikipedia.org/wiki/2nd_Academy_Awards,Best Cinematography,White Shadows in the South Seas,Four Devils | The Divine Lady | In Old Arizona | Our Dancing Daughters | Street Angel
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Outstanding Production,All Quiet on the Western Front,The Big House | Disraeli | The Divorcee | The Love Parade
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Directing,Lewis Milestone,Clarence Brown | Robert Leonard | King Vidor | Ernst Lubitsch | Clarence Brown – Romance
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Actor,George Arliss,George Arliss | Wallace Beery | Maurice Chevalier | Maurice Chevalier | Ronald Colman | Ronald Colman | Lawrence Tibbett
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Actress,Norma Shearer,Nancy Carroll | Ruth Chatterton | Greta Garbo | Norma Shearer ;– Their Own Desire as Lucia 'Lally' Marlett | Gloria Swanson
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Writing,The Big House,All Quiet on the Western Front | Disraeli | The Divorcee | Street of Chance
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Sound Recording,The Big House,The Case of Sergeant Grischa | The Love Parade | Raffles | Song of the Flame
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Art Direction,King of Jazz,Bulldog Drummond | The Love Parade | Sally | The Vagabond King
3,1931,"November 5, 1930",https://en.wikipedia.org/wiki/3rd_Academy_Awards,Best Cinematography,With Byrd at the South Pole,All Quiet on the Western Front | Anna Christie | Hell's Angels | The Love Parade
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Outstanding Production,Cimarron,East Lynne | The Front Page | Skippy | Trader Horn
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Best Director,Norman Taurog,Wesley Ruggles | Clarence Brown | Lewis Milestone | Josef von Sternberg
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Best Actor,Lionel Barrymore,Jackie Cooper | Richard Dix | Fredric March | Adolphe Menjou
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Best Actress,Marie Dressler,Marlene Dietrich | Irene Dunne | Ann Harding | Norma Shearer
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Best Adaptation,Cimarron,The Criminal Code | Holiday | Little Caesar | Skippy
4,1932,"November 10, 1931",https://en.wikipedia.org/wiki/4th_Academy_Awards,Best Original Story,The Dawn Patrol,The Doorway to Hell | Laughter | The Public Enemy | Smart Money
